Class_1,Class_2,Acc_All,Acc_LDA,Acc_PCA
0,1,0.997553777,0.999938528,0.999879588
0,2,0.989194917,0.998667056,0.9953209
0,3,0.992817577,0.99942183,0.995820536
0,4,0.996573892,0.999680138,0.9992318
0,5,0.985572975,0.996485751,0.982664302
0,6,0.986957784,0.999005123,0.9972301
0,7,0.994787269,0.999716888,0.999734769
0,8,0.988674306,0.997989406,0.994688174
0,9,0.992946005,0.998661279,0.997746148
1,2,0.984433481,0.995978212,0.997897967
1,3,0.989305202,0.997879657,0.996549355
1,4,0.992919994,0.999644643,0.999469927
1,5,0.991997594,0.997960637,0.998561078
1,6,0.996860402,0.999898959,0.999572857
1,7,0.990914487,0.998432805,0.999072137
1,8,0.957499293,0.993307733,0.994251338
1,9,0.976558889,0.999225375,0.999271639
2,3,0.953181392,0.99070156,0.98345328
2,4,0.982676944,0.996756514,0.994297854
2,5,0.977440507,0.995290836,0.993678734
2,6,0.963345976,0.994997465,0.982922613
2,7,0.974827113,0.997800395,0.99708751
2,8,0.948616655,0.989409367,0.984073565
2,9,0.989659827,0.997348186,0.995241853
3,4,0.99317919,0.998849278,0.997530358
3,5,0.939911965,0.984216252,0.966954613
3,6,0.991469166,0.999533224,0.999114093
3,7,0.986642921,0.996367517,0.995292
3,8,0.513846854,0.988170845,0.969425991
3,9,0.969691564,0.995650276,0.991274009
4,5,0.990445165,0.99886524,0.993884053
4,6,0.992182103,0.998064727,0.996107472
4,7,0.988637496,0.998014996,0.990455366
4,8,0.987934487,0.997576319,0.992120723
4,9,0.948420116,0.986616211,0.852081671
5,6,0.958137069,0.995838975,0.991164522
5,7,0.9938676,0.998326218,0.997345181
5,8,0.941518075,0.977911164,0.955885846
5,9,0.981747097,0.99416107,0.990413077
6,7,0.997772068,0.999946016,0.999865601
6,8,0.984801403,0.998314294,0.997831426
6,9,0.997507791,0.999676085,0.999661451
7,8,0.992516627,0.998724105,0.995218438
7,9,0.935474752,0.978154964,0.954923093
8,9,0.962550025,0.995217069,0.978475822
,sum,43.64356979,44.81239319,44.48274283
,Average Accuracy,0.969857107,0.99583096,0.988505396
