Class_1,Class_2,Acc_All,Acc_LDA,Acc_PCA
0,1,0.987313938,0.99255751,0.982746955
0,2,0.78657549,0.978585568,0.963469498
0,3,0.890154887,0.987715863,0.946056614
0,4,0.893624772,0.993442623,0.978324226
0,5,0.752743095,0.974839198,0.900491865
0,6,0.963708946,0.97659227,0.946107784
0,7,0.966009158,0.992250793,0.980450863
0,8,0.954470952,0.982881078,0.954835185
0,9,0.969877345,0.988455988,0.953463203
1,2,0.961823074,0.971577531,0.967373024
1,3,0.950890628,0.974363243,0.958881305
1,4,0.973469388,0.984353741,0.967006803
1,5,0.953664553,0.977272727,0.960535588
1,6,0.976275208,0.98610405,0.974072191
1,7,0.97659855,0.981542518,0.957646671
1,8,0.902040816,0.951020408,0.94744898
1,9,0.98281092,0.989551736,0.971183013
2,3,0.74044586,0.94143666,0.908881812
2,4,0.938280543,0.977556561,0.946063348
2,5,0.774666416,0.967487314,0.934974629
2,6,0.790840245,0.963937973,0.930941219
2,7,0.967792753,0.974094171,0.970943462
2,8,0.761853058,0.952406804,0.93286283
2,9,0.947660871,0.977773795,0.962717333
3,4,0.89688507,0.989079842,0.975832438
3,5,0.852629623,0.943504925,0.843709348
3,6,0.926150553,0.985372815,0.981448448
3,7,0.951844795,0.969513251,0.962757665
3,8,0.684389545,0.948084497,0.889724311
3,9,0.893420819,0.967370101,0.957971272
4,5,0.924628854,0.98058622,0.942710316
4,6,0.825182482,0.985218978,0.972810219
4,7,0.925433936,0.978746015,0.944208289
4,8,0.613299139,0.974903829,0.942846675
4,9,0.650217707,0.943940493,0.744557329
5,6,0.897440758,0.96492891,0.962843602
5,7,0.959757442,0.98493201,0.9707828
5,8,0.570504282,0.936441484,0.88715509
5,9,0.880180859,0.965712133,0.949510173
6,7,0.976001412,0.995235574,0.99170637
6,8,0.970437956,0.972992701,0.976642336
6,9,0.990240376,0.991505512,0.989878908
7,8,0.811758456,0.976978927,0.957322472
7,9,0.622982456,0.923684211,0.879122807
8,9,0.862688192,0.962996554,0.931072012
